Ticker,Fecha,Apertura,Cierre,Maximo,Minimo
GM,2022-01-03,59.87,61.17,61.57,59.74
GM,2022-01-04,61.955,65.74,65.98,61.955
GM,2022-01-05,65.52,62.74,67.21,62.6
GM,2022-01-06,63.165,62.87,63.5,61.67
GM,2022-01-07,63.81,62.27,63.91,61.42
GM,2022-01-10,61.52,61.07,62.0,60.035
GM,2022-01-11,61.25,61.46,61.555,60.1501
GM,2022-01-12,62.47,61.03,62.72,59.635
GM,2022-01-13,61.45,61.77,63.38,61.15
GM,2022-01-14,61.1,61.1,61.765,59.99
GM,2022-01-18,60.13,58.79,60.35,58.54
GM,2022-01-19,59.31,56.24,59.8399,56.125
GM,2022-01-20,56.02,54.65,57.3256,54.415
GM,2022-01-21,54.52,53.28,54.7,52.6857
GM,2022-01-24,51.4,52.64,52.66,49.365
GM,2022-01-25,51.6,51.9,52.5133,50.82
GM,2022-01-26,53.57,52.35,53.99,51.47
GM,2022-01-27,52.845,51.45,53.35,51.0699
GM,2022-01-28,51.25,50.24,51.25,49.24
GM,2022-01-31,50.5,52.73,52.75,49.97
GM,2022-02-01,52.85,54.07,54.24,52.12
GM,2022-02-02,54.92,53.5,55.55,51.68
GM,2022-02-03,52.6,53.11,54.42,52.55
GM,2022-02-04,51.62,51.29,51.85,50.515
GM,2022-02-07,51.49,50.71,52.0,50.52
GM,2022-02-08,48.74,49.46,49.88,47.58
GM,2022-02-09,50.31,50.72,51.68,50.16
GM,2022-02-10,49.73,50.34,51.785,49.6
GM,2022-02-11,50.64,48.83,50.97,48.5405
GM,2022-02-14,48.87,48.4,49.19,48.0
GM,2022-02-15,49.36,49.67,49.91,48.93
GM,2022-02-16,49.43,50.43,50.565,49.26
GM,2022-02-17,49.81,48.82,49.8494,48.66
GM,2022-02-18,48.92,48.6,49.21,47.92
GM,2022-02-22,47.78,46.77,47.94,46.155
GM,2022-02-23,47.26,46.38,48.295,46.26
GM,2022-02-24,44.15,46.35,46.405,43.91
GM,2022-02-25,46.35,47.43,47.475,45.85
GM,2022-02-28,46.24,46.72,47.12,45.84
GM,2022-03-01,46.02,44.52,46.1597,44.155
GM,2022-03-02,44.68,46.32,46.6,44.56
GM,2022-03-03,46.21,44.9,46.74,44.605
GM,2022-03-04,44.03,42.4,44.16,41.99
GM,2022-03-07,42.29,39.83,42.44,39.75
GM,2022-03-08,40.84,40.2,42.31,39.955
GM,2022-03-09,42.26,42.28,42.86,41.8
GM,2022-03-10,41.405,41.85,42.23,40.855
GM,2022-03-11,42.08,41.51,42.3399,41.48
GM,2022-03-14,41.74,40.83,42.43,40.37
GM,2022-03-15,40.83,42.13,42.25,40.8
GM,2022-03-16,43.0,43.85,44.17,42.37
GM,2022-03-17,42.92,43.66,43.83,42.6
GM,2022-03-18,43.23,44.82,45.04,43.13
GM,2022-03-21,44.28,43.61,44.67,43.22
GM,2022-03-22,44.24,44.56,45.27,44.09
GM,2022-03-23,44.0,43.78,44.52,43.77
GM,2022-03-24,44.05,44.35,44.86,43.95
GM,2022-03-25,44.275,43.65,44.31,43.395
GM,2022-03-28,43.9,44.22,44.25,43.28
GM,2022-03-29,45.41,46.26,46.74,45.24
GM,2022-03-30,45.64,45.22,46.03,45.04
GM,2022-03-31,44.84,43.74,44.9,43.74
GM,2022-04-01,44.16,42.96,44.45,42.41
GM,2022-04-04,43.27,43.18,43.42,42.53
GM,2022-04-05,42.96,41.42,43.1599,41.32
GM,2022-04-06,40.79,39.5,41.33,39.48
GM,2022-04-07,39.29,38.72,39.53,37.6
GM,2022-04-08,38.35,39.35,40.05,38.1689
GM,2022-04-11,38.81,40.33,41.3355,38.69
GM,2022-04-12,40.61,40.04,40.78,39.64
GM,2022-04-13,39.62,40.22,40.45,39.545
GM,2022-04-14,40.15,40.13,40.78,40.09
GM,2022-04-18,40.13,40.63,40.93,39.95
GM,2022-04-19,40.81,42.08,42.19,40.81
GM,2022-04-20,42.25,41.72,43.24,41.69
GM,2022-04-21,42.76,40.71,43.0,40.56
GM,2022-04-22,40.46,39.84,40.74,39.78
GM,2022-04-25,39.35,39.82,39.99,38.67
GM,2022-04-26,39.22,38.04,39.45,37.885
GM,2022-04-27,38.29,38.66,39.52,37.7
GM,2022-04-28,39.35,38.75,39.61,37.31
GM,2022-04-29,38.81,37.91,39.42,37.78
GM,2022-05-02,37.67,38.45,38.49,37.25
GM,2022-05-03,39.32,39.94,40.27,38.817
GM,2022-05-04,39.6,41.17,41.24,39.3
GM,2022-05-05,40.32,39.95,40.75,39.35
GM,2022-05-06,39.79,39.58,40.119,38.8
GM,2022-05-09,38.98,38.26,40.22,38.075
GM,2022-05-10,39.39,38.7,39.49,37.52
GM,2022-05-11,38.78,37.27,39.44,37.17
GM,2022-05-12,35.46,35.56,36.2,34.58
GM,2022-05-13,36.18,38.21,38.49,36.07
GM,2022-05-16,38.01,37.1,38.04,36.76
GM,2022-05-17,38.03,38.1,38.5499,37.345
GM,2022-05-18,37.5,35.83,37.77,35.59
GM,2022-05-19,35.38,36.12,36.65,35.15
GM,2022-05-20,37.01,35.4,37.08,34.385
GM,2022-05-23,35.93,36.0,36.6099,35.09
GM,2022-05-24,35.53,35.21,35.57,34.3099
GM,2022-05-25,34.9,35.98,36.35,34.9
GM,2022-05-26,36.38,37.42,37.76,36.38
GM,2022-05-27,37.8,38.57,38.59,37.36
GM,2022-05-31,38.61,38.68,38.95,37.955
GM,2022-06-01,39.01,38.27,39.64,37.895
GM,2022-06-02,38.4,38.87,39.25,38.36
GM,2022-06-03,38.09,37.61,38.29,37.48
GM,2022-06-06,38.35,37.83,38.43,37.51
GM,2022-06-07,37.22,38.37,38.46,36.82
GM,2022-06-08,38.34,37.69,38.77,37.63
GM,2022-06-09,37.48,36.65,37.68,36.63
GM,2022-06-10,35.73,35.01,36.37,35.0
GM,2022-06-13,33.86,32.28,34.08,32.15
GM,2022-06-14,32.67,33.2,33.59,32.47
GM,2022-06-15,33.36,34.18,34.6,33.35
GM,2022-06-16,32.85,31.42,32.85,30.92
GM,2022-06-17,31.45,31.88,32.39,30.65
GM,2022-06-21,32.825,32.64,33.1,31.89
GM,2022-06-22,32.19,32.83,33.51,32.03
GM,2022-06-23,32.92,32.99,33.345,32.23
GM,2022-06-24,33.11,34.82,35.0,33.06
GM,2022-06-27,34.99,34.63,35.32,34.34
GM,2022-06-28,35.19,33.99,36.1277,33.95
GM,2022-06-29,33.8,33.45,33.87,32.66
GM,2022-06-30,32.59,31.76,32.735,31.4075
GM,2022-07-01,31.28,32.19,32.88,31.26
GM,2022-07-05,31.11,32.37,32.43,30.33
GM,2022-07-06,32.05,31.27,32.49,30.935
GM,2022-07-07,32.0,32.66,32.845,31.95
GM,2022-07-08,32.69,32.31,33.13,32.25
GM,2022-07-11,31.91,30.87,32.2,30.79
GM,2022-07-12,30.92,31.53,32.06,30.8
GM,2022-07-13,30.85,31.72,31.845,30.36
GM,2022-07-14,31.15,31.59,31.65,30.67
GM,2022-07-15,32.25,32.87,32.925,31.71
GM,2022-07-18,33.3,32.62,33.59,32.48
GM,2022-07-19,33.35,34.4,34.6264,33.275
GM,2022-07-20,34.18,34.76,35.015,34.05
GM,2022-07-21,34.76,35.13,35.13,34.36
GM,2022-07-22,35.17,34.67,35.2,34.29
GM,2022-07-25,34.86,34.52,35.05,34.13
GM,2022-07-26,34.035,33.34,34.08,33.04
GM,2022-07-27,34.02,34.68,34.8,33.63
GM,2022-07-28,35.005,35.74,35.75,34.6
GM,2022-07-29,35.75,36.26,36.44,35.39
GM,2022-08-01,36.06,36.77,36.98,35.605
GM,2022-08-02,36.32,36.13,36.96,36.11
GM,2022-08-03,36.79,37.31,38.19,36.75
GM,2022-08-04,37.02,36.23,37.16,36.07
GM,2022-08-05,35.92,36.06,36.285,35.59
GM,2022-08-08,36.62,37.56,38.18,36.46
GM,2022-08-09,37.27,36.62,37.35,36.22
GM,2022-08-10,37.69,37.95,38.48,37.495
GM,2022-08-11,38.69,38.46,39.04,38.18
GM,2022-08-12,38.83,39.48,39.505,38.48
GM,2022-08-15,38.88,39.4,39.69,38.81
GM,2022-08-16,38.95,38.99,39.605,38.72
GM,2022-08-17,38.19,38.4,38.685,37.65
GM,2022-08-18,38.33,38.72,38.9,38.06
GM,2022-08-19,39.24,39.7,40.28,39.09
GM,2022-08-22,38.24,38.55,38.82,37.92
GM,2022-08-23,38.96,38.56,39.41,38.42
GM,2022-08-24,38.61,39.25,39.73,38.32
GM,2022-08-25,39.36,40.39,40.78,39.34
GM,2022-08-26,40.75,39.23,41.09,39.22
GM,2022-08-29,38.77,39.51,39.975,38.701
GM,2022-08-30,39.76,39.13,39.88,38.575
GM,2022-08-31,39.2,38.21,39.23,38.12
GM,2022-09-01,37.81,38.56,38.6,37.51
GM,2022-09-02,39.32,38.47,39.525,38.325
GM,2022-09-06,38.81,38.71,39.4709,38.405
GM,2022-09-07,38.52,40.11,40.17,38.4
GM,2022-09-08,39.45,40.5,40.675,39.345
GM,2022-09-09,40.75,41.29,41.54,40.7
GM,2022-09-12,41.66,42.05,42.36,41.405
GM,2022-09-13,40.6,40.53,41.42,40.35
GM,2022-09-14,40.74,40.62,40.85,39.745
GM,2022-09-15,40.57,40.66,42.13,40.54
GM,2022-09-16,40.06,39.97,40.57,39.71
GM,2022-09-19,39.5,41.39,41.44,39.43
GM,2022-09-20,40.23,39.06,40.6,38.9
GM,2022-09-21,39.16,37.68,39.69,37.665
GM,2022-09-22,37.81,37.38,38.04,37.19
GM,2022-09-23,36.47,35.48,36.72,34.835
GM,2022-09-26,35.1,35.04,36.05,34.67
GM,2022-09-27,35.55,34.71,35.68,34.07
GM,2022-09-28,34.75,35.25,35.5,34.36
GM,2022-09-29,34.01,33.26,34.38,32.82
GM,2022-09-30,32.93,32.09,33.21,32.05
GM,2022-10-03,32.46,32.87,33.29,31.6112
GM,2022-10-04,34.2,35.8,35.8,33.92
GM,2022-10-05,34.38,34.84,35.015,33.81
GM,2022-10-06,34.58,34.63,35.17,34.38
GM,2022-10-07,34.06,33.62,34.258,33.395
GM,2022-10-10,32.38,32.29,32.615,31.105
GM,2022-10-11,32.01,32.09,32.87,31.28
GM,2022-10-12,32.12,32.2,32.5256,31.6
GM,2022-10-13,31.29,32.76,32.97,31.27
GM,2022-10-14,33.07,32.89,33.22,32.45
GM,2022-10-17,33.7,33.57,33.95,33.0601
GM,2022-10-18,34.78,34.25,34.9,33.98
GM,2022-10-19,33.79,33.63,34.19,33.3
GM,2022-10-20,33.74,33.44,34.15,33.14
GM,2022-10-21,33.5,35.0,35.01,33.32
GM,2022-10-24,34.91,35.72,35.88,34.46
GM,2022-10-25,36.45,37.01,37.48,35.83
GM,2022-10-26,37.36,37.86,38.27,37.18
GM,2022-10-27,38.04,38.16,38.64,37.405
GM,2022-10-28,38.2,38.85,38.875,38.09
GM,2022-10-31,38.55,39.25,39.655,38.36
GM,2022-11-01,39.92,39.35,40.1,38.8501
GM,2022-11-02,39.22,38.52,40.07,38.46
GM,2022-11-03,37.78,38.51,38.745,37.65
GM,2022-11-04,39.39,39.0,39.74,38.46
GM,2022-11-07,39.36,39.39,39.47,38.69
GM,2022-11-08,39.47,39.05,39.51,38.51
GM,2022-11-09,38.55,38.06,38.87,38.03
GM,2022-11-10,39.15,39.74,40.595,38.86
GM,2022-11-11,39.86,41.12,41.575,39.82
GM,2022-11-14,41.01,39.93,41.19,39.925
GM,2022-11-15,40.7,40.24,41.37,40.01
GM,2022-11-16,39.75,38.47,39.86,38.47
GM,2022-11-17,38.03,38.64,39.6,37.4737
GM,2022-11-18,39.5,39.77,39.99,39.04
GM,2022-11-21,39.44,39.52,39.72,39.0
GM,2022-11-22,39.89,39.97,40.27,39.625
GM,2022-11-23,39.85,40.11,40.1999,39.57
GM,2022-11-25,39.81,40.46,40.47,39.81
GM,2022-11-28,39.92,39.38,40.37,39.305
GM,2022-11-29,39.62,39.75,40.04,39.54
GM,2022-11-30,39.98,40.56,40.56,39.23
GM,2022-12-01,40.77,40.43,41.38,40.415
GM,2022-12-02,39.86,39.9,40.14,39.55
GM,2022-12-05,39.47,38.79,39.62,38.685
GM,2022-12-06,38.93,38.02,39.09,37.35
GM,2022-12-07,37.665,37.96,38.33,37.56
GM,2022-12-08,38.07,38.2,38.26,37.6
GM,2022-12-09,37.85,38.28,38.555,37.78
GM,2022-12-12,38.32,38.49,38.67,38.0155
GM,2022-12-13,39.66,38.77,40.01,38.53
GM,2022-12-14,38.74,38.36,39.09,37.9601
GM,2022-12-15,37.79,37.62,37.803,37.19
GM,2022-12-16,37.03,36.15,37.2,35.87
GM,2022-12-19,36.28,35.42,36.4,35.36
GM,2022-12-20,35.26,35.2,35.585,34.78
GM,2022-12-21,35.72,35.9,36.035,35.47
GM,2022-12-22,35.17,33.53,35.18,33.28
GM,2022-12-23,33.68,33.83,33.88,33.18
GM,2022-12-27,33.52,33.32,33.75,33.02
GM,2022-12-28,33.32,32.53,33.5,32.515
GM,2022-12-29,32.82,33.67,33.675,32.82
GM,2022-12-30,33.33,33.64,33.755,33.23
F,2022-01-03,21.27,21.77,21.88,21.06
F,2022-01-04,22.52,24.31,24.5576,22.42
F,2022-01-05,24.06,23.66,24.95,23.47
F,2022-01-06,24.09,24.46,24.62,23.36
F,2022-01-07,24.67,24.44,24.91,24.04
F,2022-01-10,24.1,23.85,24.44,23.35
F,2022-01-11,23.78,24.35,24.35,23.28
F,2022-01-12,24.61,24.47,24.84,24.01
F,2022-01-13,24.64,25.02,25.87,24.37
F,2022-01-14,24.47,25.19,25.28,24.3
F,2022-01-18,24.87,24.38,25.13,24.3
F,2022-01-19,24.65,22.45,24.92,22.41
F,2022-01-20,21.88,21.65,22.88,21.57
F,2022-01-21,21.21,20.65,21.5,20.54
F,2022-01-24,19.93,20.39,20.47,18.8
F,2022-01-25,20.0,19.98,20.31,19.56
F,2022-01-26,21.01,19.91,21.04,19.57
F,2022-01-27,20.31,19.55,20.65,19.41
F,2022-01-28,19.32,19.54,19.55,18.9245
F,2022-01-31,19.58,20.3,20.33,19.3701
F,2022-02-01,20.61,20.66,20.85,19.92
F,2022-02-02,20.81,20.63,21.05,20.18
F,2022-02-03,20.17,19.89,20.62,19.87
F,2022-02-04,18.525,17.96,18.59,17.52
F,2022-02-07,17.73,17.89,18.12,17.7
F,2022-02-08,17.575,17.72,17.91,17.02
F,2022-02-09,18.27,18.35,18.43,18.03
F,2022-02-10,17.965,18.08,18.63,17.92
F,2022-02-11,18.1,17.55,18.36,17.42
F,2022-02-14,17.51,17.46,17.7299,17.29
F,2022-02-15,17.8,18.08,18.13,17.72
F,2022-02-16,17.885,18.01,18.21,17.74
F,2022-02-17,17.86,17.54,17.94,17.5
F,2022-02-18,17.6,18.04,18.48,17.57
F,2022-02-22,17.67,17.29,17.76,17.07
F,2022-02-23,17.5,16.95,17.73,16.88
F,2022-02-24,15.99,17.15,17.19,15.955
F,2022-02-25,17.25,17.83,17.9,17.12
F,2022-02-28,17.34,17.56,17.675,17.2101
F,2022-03-01,17.41,16.7,17.41,16.45
F,2022-03-02,17.5,18.1,18.249,17.295
F,2022-03-03,18.25,17.6,18.25,17.44
F,2022-03-04,17.35,16.85,17.39,16.64
F,2022-03-07,16.84,15.97,16.9,15.97
F,2022-03-08,16.06,16.03,16.72,15.77
F,2022-03-09,16.65,16.37,16.83,16.28
F,2022-03-10,16.11,16.33,16.405,15.76
F,2022-03-11,16.4,16.04,16.48,16.01
F,2022-03-14,16.085,15.74,16.23,15.51
F,2022-03-15,15.77,16.06,16.14,15.53
F,2022-03-16,16.47,16.58,16.6298,16.06
F,2022-03-17,16.23,16.58,16.58,16.16
F,2022-03-18,16.42,16.86,16.895,16.28
F,2022-03-21,16.87,16.48,17.1055,16.33
F,2022-03-22,16.72,17.09,17.305,16.7001
F,2022-03-23,16.82,16.68,17.05,16.565
F,2022-03-24,16.74,16.83,16.98,16.64
F,2022-03-25,16.74,16.47,16.78,16.34
F,2022-03-28,16.55,16.67,16.68,16.28
F,2022-03-29,17.01,17.75,17.8,17.01
F,2022-03-30,17.52,17.27,17.66,17.2
F,2022-03-31,17.2,16.91,17.35,16.5
F,2022-04-01,17.01,16.65,17.15,16.34
F,2022-04-04,16.66,16.66,16.73,16.36
F,2022-04-05,16.46,15.82,16.62,15.81
F,2022-04-06,15.6,15.39,15.7971,15.18
F,2022-04-07,15.07,14.96,15.205,14.56
F,2022-04-08,14.94,15.05,15.44,14.81
F,2022-04-11,14.89,15.28,15.77,14.89
F,2022-04-12,15.5,15.36,15.72,15.28
F,2022-04-13,15.31,15.51,15.545,15.22
F,2022-04-14,15.5,15.48,15.76,15.46
F,2022-04-18,15.37,15.67,15.79,15.37
F,2022-04-19,15.74,16.15,16.23,15.74
F,2022-04-20,16.23,16.05,16.55,16.005
F,2022-04-21,16.48,15.7,16.57,15.61
F,2022-04-22,15.55,15.13,15.64,15.0
F,2022-04-25,14.91,15.19,15.2,14.615
F,2022-04-26,15.1,14.71,15.14,14.67
F,2022-04-27,14.79,14.85,15.0981,14.6
F,2022-04-28,14.91,14.62,14.99,13.9
F,2022-04-29,14.59,14.16,14.97,14.095
F,2022-05-02,14.02,14.27,14.29,13.82
F,2022-05-03,14.31,14.56,14.75,14.2
F,2022-05-04,14.505,14.98,15.0,14.26
F,2022-05-05,14.82,14.53,14.82,14.335
F,2022-05-06,14.46,14.21,14.6,14.0
F,2022-05-09,13.85,13.37,14.17,13.31
F,2022-05-10,13.8,13.35,13.84,13.02
F,2022-05-11,13.2,12.83,13.62,12.79
F,2022-05-12,12.21,12.44,12.8,12.15
F,2022-05-13,12.88,13.5,13.63,12.87
F,2022-05-16,13.49,13.05,13.52,12.98
F,2022-05-17,13.34,13.53,13.53,13.16
F,2022-05-18,13.25,12.78,13.36,12.71
F,2022-05-19,12.64,12.85,13.12,12.63
F,2022-05-20,13.05,12.5,13.12,12.07
F,2022-05-23,12.64,12.83,12.95,12.495
F,2022-05-24,12.6,12.42,12.68,12.27
F,2022-05-25,12.33,12.71,12.81,12.32
F,2022-05-26,12.8,13.12,13.2,12.79
F,2022-05-27,13.26,13.63,13.63,13.24
F,2022-05-31,13.68,13.68,13.82,13.35
F,2022-06-01,13.88,13.55,13.97,13.4
F,2022-06-02,13.64,13.89,13.96,13.6
F,2022-06-03,13.63,13.5,13.775,13.36
F,2022-06-06,13.74,13.46,13.74,13.38
F,2022-06-07,13.26,13.74,13.77,13.185
F,2022-06-08,13.63,13.53,13.85,13.44
F,2022-06-09,13.51,13.28,13.59,13.28
F,2022-06-10,13.0,12.75,13.21,12.63
F,2022-06-13,12.3,11.81,12.38,11.74
F,2022-06-14,11.99,12.2,12.42,11.91
F,2022-06-15,12.22,12.27,12.42,12.0
